UserID,MovieID,Rating
1,914,4.5484314
1,2018,4.320057
1,2797,4.796607
1,1270,4.7793546
1,1545,4.2315016
1,1566,4.020672
1,588,4.4490776
1,1907,4.441448
1,2762,4.824532
1,1962,4.6329126
1,1028,4.3456364
2,3030,4.0701876
2,1253,4.064781
2,1259,4.018024
2,1188,3.917021
2,1690,3.272818
2,3654,4.085643
2,2312,3.8814564
2,1370,3.5992184
2,1801,3.4836915
2,590,3.7675035
2,593,4.105576
2,95,3.3212974
2,1917,3.634882
2,1953,3.6006672
2,1124,3.9705076
2,165,3.6012082
2,2321,3.7814424
2,1090,3.9203105
2,457,3.9235182
2,1527,4.009894
2,3451,4.119125
2,3095,3.808187
2,2728,3.8544648
2,1784,4.0955477
2,1968,3.9085183
2,1246,4.27463
3,648,3.8533869
3,1580,3.801296
3,260,4.4731526
3,1049,4.018638
3,733,4.104998
3,1198,4.4977603
3,1378,3.8915935
3,1304,4.4144206
3,2617,3.7504041
3,2006,3.9352813
4,2951,4.881527
4,2028,4.8139405
4,3702,4.3751097
4,2947,4.7280474
5,1175,4.4941473
5,1759,4.007748
5,581,3.98028
5,150,2.6674025
5,515,3.6349509
5,50,4.110354
5,377,1.8429883
5,1268,2.4111075
5,1912,4.216629
5,2359,3.1824598
5,2289,4.3491106
5,1704,3.11735
5,1279,3.473228
5,2721,2.866825
5,968,3.5074377
5,3020,2.6495323
5,318,3.6209764
5,176,3.8036823
5,461,3.4723718
5,608,4.7663097
5,1715,2.348965
5,3176,3.7777815
5,1719,4.401467
5,1649,3.5676138
5,2013,2.559953
5,2952,3.9263287
5,3105,2.8157258
5,1650,2.2543297
5,908,4.1508636
5,1653,2.912623
5,2029,2.9621456
5,1734,3.6011646
5,1884,3.7658634
5,1093,2.5064995
5,1095,4.631591
5,1966,3.9075937
5,32,3.649143
5,3786,2.275734
5,357,3.2189903
5,36,3.7920413
6,1688,4.5028677
6,1188,4.305658
6,588,4.0008903
6,1,3.9178278
6,2858,3.4069488
6,2506,4.4402514
6,3600,3.5592194
6,3536,4.461383
6,1947,4.4284577
6,2966,3.9067554
6,1806,4.0415697
6,2100,3.599005
6,569,3.9679022
6,34,3.5764728
7,2916,4.0518465
7,589,4.2531986
7,2571,4.3862
7,457,4.348607
7,480,4.065169
7,3418,3.8675907
8,3148,4.2167387
8,150,4.4895477
8,1621,3.6855717
8,3155,3.489112
8,1120,4.220216
8,161,3.8417158
8,1411,4.6656995
8,1274,4.7945056
8,1704,4.5195
8,465,3.9298983
8,1711,3.812092
8,538,4.0742984
8,3246,4.2062197
8,1213,4.4018674
8,3105,4.093319
8,3252,4.61968
8,2023,4.17583
8,2028,4.835023
8,480,4.507412
8,1801,3.3476715
8,1730,4.1692934
8,3265,4.9923744
8,24,3.4797835
8,25,3.9654505
8,562,3.8597212
8,2541,3.8148699
8,1678,4.4750586
8,282,3.0257633
9,3298,3.2469695
9,3510,3.554878
9,593,4.372395
9,1777,3.3610938
9,745,4.039623
9,3452,2.718657
9,1921,2.9677005
9,1358,3.866562
9,1500,3.6104572
9,1148,3.9587028
9,1653,3.4190464
9,2890,3.6989152
9,3114,4.151917
9,1089,3.8584354
9,3408,3.532016
9,3916,3.7670608
9,25,3.1172905
9,2324,4.29847
9,349,3.606415
9,3270,2.9692714
9,1961,3.9126153
10,648,4.256709
